cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
10000;user_id;double_hashing;1.19155143615019E+018;1401;1401;-nan
10000;user_id;double_hashing;105900443;502;951.5;635.689
10000;user_id;double_hashing;1329379327;542;815;507.885
10000;user_id;double_hashing;9.75881764018295E+017;763;802;415.501
10000;user_id;double_hashing;7.58544220357526E+017;694;780.4;363.061
10000;user_id;double_hashing;9.19609855182344E+017;1307;868.167;389.446
10000;user_id;double_hashing;1.25808068510296E+018;1316;932.143;393.753
10000;user_id;double_hashing;1.17798874598491E+018;1095;952.5;369.063
10000;user_id;double_hashing;342312229;567;909.667;368.367
10000;user_id;double_hashing;3550686665;769;895.6;350.137
10000;user_id;double_hashing;9.80122486619722E+017;779;885;334.024
10000;user_id;double_hashing;302992649;349;840.333;354.077
10000;user_id;double_hashing;1.19845699620431E+018;1060;857.231;344.434
10000;user_id;double_hashing;80970219;674;844.143;334.525
10000;user_id;double_hashing;224352055;591;827.267;328.916
10000;user_id;double_hashing;106672511;608;813.562;322.457
10000;user_id;double_hashing;17128544;496;794.882;321.577
10000;user_id;double_hashing;202225364;362;770.833;328.236
10000;user_id;double_hashing;2796139255;599;761.789;321.415
10000;user_id;double_hashing;1.2494139589995E+018;915;769.45;314.713
10000;user_id;double_hashing;503121506;402;751.952;317.051
10000;user_id;double_hashing;119561018;516;741.227;313.473
10000;user_id;double_hashing;144581125;383;725.652;315.243
10000;user_id;double_hashing;81006849;976;736.083;312.52
10000;user_id;double_hashing;2765062650;445;724.44;311.43
10000;user_id;double_hashing;8.53761425923351E+017;971;733.923;308.945
10000;user_id;double_hashing;290547359;714;733.185;302.97
10000;user_id;double_hashing;536629181;583;727.821;298.658
10000;user_id;double_hashing;2950513618;453;718.345;297.683
10000;user_id;double_hashing;142782028;454;709.533;296.461
10000;user_id;double_hashing;137906072;404;699.677;296.598
10000;user_id;double_hashing;9.34862031752258E+017;723;700.406;291.804
10000;user_id;double_hashing;2578323647;655;699.03;287.317
10000;user_id;double_hashing;1.23605750279137E+018;799;701.971;283.45
10000;user_id;double_hashing;87886534;611;699.371;279.673
10000;user_id;double_hashing;9.43575706101076E+017;867;704.028;277.061
10000;user_id;double_hashing;526831321;412;696.135;277.372
10000;user_id;double_hashing;2377125686;549;692.263;274.638
10000;user_id;double_hashing;1.18592767675176E+018;1698;718.051;315.241
10000;user_id;double_hashing;102563899;954;723.95;313.402
10000;user_id;double_hashing;245336003;819;726.268;309.815
10000;user_id;double_hashing;1586987570;451;719.714;308.947
10000;user_id;double_hashing;130292998;683;718.86;305.299
10000;user_id;double_hashing;108028116;327;709.955;307.457
10000;user_id;double_hashing;400502105;613;707.8;304.286
10000;user_id;double_hashing;1.23556833082995E+018;717;708;300.889
10000;user_id;double_hashing;753513150;618;706.085;297.89
10000;user_id;double_hashing;1.09293122612041E+018;1282;718.083;306.203
10000;user_id;double_hashing;99024875;767;719.082;303.077
10000;user_id;double_hashing;1.0044167033868E+018;854;721.78;300.575
10000;user_id;double_hashing;100613295;547;718.353;298.559
10000;user_id;double_hashing;799808022;655;717.135;295.748
10000;user_id;double_hashing;1191773484;668;716.208;292.968
10000;user_id;double_hashing;4471733295;688;715.685;290.216
10000;user_id;double_hashing;7.28335042829758E+017;848;718.091;288.07
10000;user_id;double_hashing;1.1455165512836E+018;735;718.393;285.448
10000;user_id;double_hashing;2903146798;575;715.877;283.525
10000;user_id;double_hashing;1163597305;1047;721.586;284.37
10000;user_id;double_hashing;1.1979726017816E+018;930;725.119;283.211
10000;user_id;double_hashing;1249799833;580;722.7;281.425
10000;user_id;double_hashing;1.1542011817592E+018;1334;732.721;289.838
10000;user_id;double_hashing;2321013707;503;729.016;288.929
10000;user_id;double_hashing;553438560;620;727.286;286.918
10000;user_id;double_hashing;1.23934155673117E+018;1033;732.062;287.186
10000;user_id;double_hashing;986393905;494;728.4;286.459
10000;user_id;double_hashing;1913909917;805;729.561;284.404
10000;user_id;double_hashing;2923739747;584;727.388;282.8
10000;user_id;double_hashing;503472044;531;724.5;281.691
10000;user_id;double_hashing;3066105388;799;725.58;279.755
10000;user_id;double_hashing;3455004323;705;725.286;277.732
10000;user_id;double_hashing;1.23815851576149E+018;890;727.606;276.433
10000;user_id;double_hashing;400974731;492;724.333;275.88
10000;user_id;double_hashing;120792925;659;723.438;274.064
10000;user_id;double_hashing;260777491;628;722.149;272.407
10000;user_id;double_hashing;160921500;545;719.787;271.332
10000;user_id;double_hashing;358380018;573;717.855;270.042
10000;user_id;double_hashing;4398232473;502;715.052;269.385
10000;user_id;double_hashing;9.52337492497388E+017;2110;732.936;310.762
10000;user_id;double_hashing;1.26459433279288E+018;1062;737.101;310.976
10000;user_id;double_hashing;156425350;471;733.775;310.43
10000;user_id;double_hashing;4508259927;503;730.926;309.548
10000;user_id;double_hashing;126791351;458;727.598;309.104
10000;user_id;double_hashing;528119606;561;725.59;307.757
10000;user_id;double_hashing;1099939634;829;726.821;306.105
10000;user_id;double_hashing;1733059430;455;723.624;305.703
10000;user_id;double_hashing;9.52887027011289E+017;762;724.07;303.928
10000;user_id;double_hashing;1.18711142031758E+018;967;726.862;303.276
10000;user_id;double_hashing;170165747;425;723.432;303.24
10000;user_id;double_hashing;439547089;424;720.067;303.178
10000;user_id;double_hashing;7.38164611858338E+017;828;721.267;301.685
10000;user_id;double_hashing;306220576;489;718.714;300.99
10000;user_id;double_hashing;1.24385030904842E+018;894;720.62;299.889
10000;user_id;double_hashing;7.47960119330247E+017;795;721.419;298.355
10000;user_id;double_hashing;217256373;859;722.883;297.085
10000;user_id;double_hashing;1.25050308062342E+018;1191;727.811;299.378
10000;user_id;double_hashing;101847386;550;725.958;298.351
10000;user_id;double_hashing;1468213285;518;723.814;297.543
10000;user_id;double_hashing;200586656;348;719.98;298.43
10000;user_name;double_hashing;aonyi1;2640;2640;-nan
10000;user_name;double_hashing;PedroCatril1;947;1793.5;1197.13
