cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
10000;user_id;linear_probing;8.01790319406805E+017;1228;1228;-nan
10000;user_id;linear_probing;8.09048115001094E+017;1086;1157;100.409
10000;user_id;linear_probing;9.3310895069796E+017;535;949.667;366.063
10000;user_id;linear_probing;2898609063;428;819.25;396.698
10000;user_id;linear_probing;458024302;298;715;415.171
10000;user_id;linear_probing;3039772151;403;663;392.578
10000;user_id;linear_probing;152814567;522;642.857;362.314
10000;user_id;linear_probing;1.22995882338706E+018;639;642.375;335.44
10000;user_id;linear_probing;18390959;477;624;318.581
10000;user_id;linear_probing;41178729;383;599.9;309.879
10000;user_id;linear_probing;2838736942;355;577.636;303.109
10000;user_id;linear_probing;1661126348;775;594.083;294.565
10000;user_id;linear_probing;326354293;416;580.385;286.317
10000;user_id;linear_probing;2798419862;332;562.643;282.981
10000;user_id;linear_probing;120307256;443;554.667;274.432
10000;user_id;linear_probing;7.8813816899856E+017;800;570;272.128
10000;user_id;linear_probing;235336997;361;557.706;268.318
10000;user_id;linear_probing;1.2512619251215E+018;404;549.167;262.816
10000;user_id;linear_probing;1.25234005109209E+018;855;565.263;264.873
10000;user_id;linear_probing;14875684;364;555.2;261.707
10000;user_id;linear_probing;222140206;316;543.81;260.366
10000;user_id;linear_probing;491791556;572;545.091;254.163
10000;user_id;linear_probing;3368190267;741;553.609;251.657
10000;user_id;linear_probing;1.18170334788529E+018;646;557.458;246.847
10000;user_id;linear_probing;7.79655578348032E+017;422;552.04;243.163
10000;user_id;linear_probing;284835762;454;548.269;239.025
10000;user_id;linear_probing;42081555;445;544.444;235.224
10000;user_id;linear_probing;8.22601395622789E+017;497;542.75;231.001
10000;user_id;linear_probing;8.43910026259546E+017;580;544.034;226.944
10000;user_id;linear_probing;103012122;310;536.233;227.054
10000;user_id;linear_probing;1.1765092237249E+018;467;534;223.583
10000;user_id;linear_probing;1.25386608105746E+018;727;540.031;222.578
10000;user_id;linear_probing;1.23577940878859E+018;522;539.485;219.095
10000;user_id;linear_probing;198291732;406;535.559;216.961
10000;user_id;linear_probing;1.16568081148986E+018;439;532.8;214.369
10000;user_id;linear_probing;1.26360166640797E+018;471;531.083;211.535
10000;user_id;linear_probing;40762017;526;530.946;208.578
10000;user_id;linear_probing;1.26281718275868E+018;474;529.447;205.948
10000;user_id;linear_probing;415142297;323;524.154;205.891
10000;user_id;linear_probing;119159974;539;524.525;203.248
10000;user_id;linear_probing;1.14299274292414E+018;531;524.683;200.694
10000;user_id;linear_probing;243695103;480;523.619;198.351
10000;user_id;linear_probing;206706655;360;519.814;197.557
10000;user_id;linear_probing;63284615;296;514.727;198.141
10000;user_id;linear_probing;119604402;530;515.067;195.889
10000;user_id;linear_probing;124466816;331;511.065;195.593
