cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
10000;user_id;quadratic_probing;8.85607854350184E+017;1202;1202;-nan
10000;user_id;quadratic_probing;1564525573;648;925;391.737
10000;user_id;quadratic_probing;8.25510918096351E+017;507;785.667;367.383
10000;user_id;quadratic_probing;8.37460536749142E+017;1131;872;346.113
10000;user_id;quadratic_probing;9.70495357665907E+017;565;810.6;329.69
10000;user_id;quadratic_probing;1544370486;536;764.833;315.474
10000;user_id;quadratic_probing;8.48908116808802E+017;511;728.571;303.547
10000;user_id;quadratic_probing;3234881909;521;702.625;290.454
10000;user_id;quadratic_probing;1.23930296241082E+018;507;680.889;279.411
10000;user_id;quadratic_probing;1.2420139326987E+018;650;677.8;263.612
10000;user_id;quadratic_probing;326587127;515;663;254.856
10000;user_id;quadratic_probing;1.23955316141055E+018;624;659.75;243.256
10000;user_id;quadratic_probing;704082818;525;649.385;235.88
10000;user_id;quadratic_probing;75396251;497;638.5;230.256
10000;user_id;quadratic_probing;119123043;503;629.467;224.622
10000;user_id;quadratic_probing;1.18630984707307E+018;492;620.875;219.71
10000;user_id;quadratic_probing;209191781;419;609;218.295
10000;user_id;quadratic_probing;1.1420762182605E+018;321;593;222.39
10000;user_id;quadratic_probing;1375185470;383;581.947;221.429
10000;user_id;quadratic_probing;4109060117;594;582.55;215.54
10000;user_id;quadratic_probing;257748504;553;581.143;210.182
10000;user_id;quadratic_probing;1.18681261355823E+018;519;578.318;205.544
10000;user_id;quadratic_probing;2974175925;487;574.348;201.719
10000;user_id;quadratic_probing;1.14201647456502E+018;570;574.167;197.287
10000;user_id;quadratic_probing;150825387;432;568.48;195.215
10000;user_id;quadratic_probing;7.25875075753222E+017;456;564.154;192.538
10000;user_id;quadratic_probing;9.30868849808986E+017;547;563.519;188.828
10000;user_id;quadratic_probing;536906691;459;559.786;186.348
10000;user_id;quadratic_probing;88343684;614;561.655;183.267
10000;user_id;quadratic_probing;525892885;448;557.867;181.271
10000;user_id;quadratic_probing;146524566;364;551.613;181.594
10000;user_id;quadratic_probing;182296839;434;547.938;179.847
10000;user_id;quadratic_probing;1411883425;322;541.091;181.331
10000;user_id;quadratic_probing;2557605851;627;543.618;179.169
10000;user_id;quadratic_probing;1278721268;478;541.743;176.863
10000;user_id;quadratic_probing;42414292;377;537.167;176.467
10000;user_id;quadratic_probing;160342136;436;534.432;174.792
10000;user_id;quadratic_probing;1.18572525975808E+018;604;536.263;172.783
10000;user_id;quadratic_probing;86872485;498;535.282;170.604
10000;user_id;quadratic_probing;186548508;320;529.9;171.808
10000;user_id;quadratic_probing;982727202;425;527.341;170.436
10000;user_id;quadratic_probing;366865523;641;530.048;169.256
10000;user_id;quadratic_probing;373689729;360;526.093;169.228
10000;user_id;quadratic_probing;1.24174736178689E+018;450;524.364;167.641
10000;user_id;quadratic_probing;123373002;382;521.2;167.079
10000;user_id;quadratic_probing;17583033;323;516.891;167.776
10000;user_id;quadratic_probing;1.22779587252995E+018;442;515.298;166.302
10000;user_id;quadratic_probing;1.23082568142208E+018;602;517.104;164.999
10000;user_id;quadratic_probing;3340010231;425;515.224;163.8
10000;user_id;quadratic_probing;1.16140720315432E+018;434;513.6;162.526
10000;user_id;quadratic_probing;1.18588985495515E+018;671;516.686;162.396
10000;user_id;quadratic_probing;516110193;301;512.538;163.554
10000;user_id;quadratic_probing;394738161;468;511.698;162.089
10000;user_id;quadratic_probing;1.08231909923198E+018;472;510.963;160.644
10000;user_id;quadratic_probing;1.02337832233887E+018;500;510.764;159.156
10000;user_id;quadratic_probing;1.21908926740793E+018;546;511.393;157.773
10000;user_id;quadratic_probing;1471120794;236;506.561;160.556
10000;user_id;quadratic_probing;2903839469;691;509.741;160.974
10000;user_id;quadratic_probing;491784750;353;507.085;160.879
10000;user_id;quadratic_probing;1.23817557949455E+018;693;510.183;161.306
10000;user_id;quadratic_probing;2441051792;316;507;161.877
10000;user_id;quadratic_probing;1.26282004126071E+018;871;512.871;167.067
10000;user_id;quadratic_probing;1.05481376308025E+018;443;511.762;165.948
10000;user_id;quadratic_probing;83629652;343;509.125;165.972
10000;user_id;quadratic_probing;4149844162;519;509.277;164.675
10000;user_id;quadratic_probing;1.17627934895497E+018;406;507.712;163.897
10000;user_id;quadratic_probing;1.02913808271138E+018;310;504.761;164.434
10000;user_id;quadratic_probing;1.18658914198898E+018;453;504;163.323
10000;user_id;quadratic_probing;9.92268104804614E+017;373;502.101;162.883
10000;user_id;quadratic_probing;52878298;415;500.857;162.033
10000;user_id;quadratic_probing;16478974;450;500.141;160.985
10000;user_id;quadratic_probing;65737438;514;500.333;159.856
10000;user_id;quadratic_probing;27130156;364;498.466;159.542
10000;user_id;quadratic_probing;308230831;428;497.514;158.657
10000;user_id;quadratic_probing;368022621;484;497.333;157.589
10000;user_id;quadratic_probing;1.23230453037889E+018;355;495.461;157.384
10000;user_id;quadratic_probing;469864906;668;497.701;157.576
10000;user_id;quadratic_probing;158439295;425;496.769;156.766
10000;user_id;quadratic_probing;26401452;290;494.152;157.486
10000;user_id;quadratic_probing;8.86542415871566E+017;480;493.975;156.494
10000;user_id;quadratic_probing;311810295;623;495.568;156.172
10000;user_id;quadratic_probing;1.25421739591857E+018;828;499.622;159.488
10000;user_id;quadratic_probing;113805142;402;498.446;158.874
10000;user_id;quadratic_probing;1.00264148156229E+018;394;497.202;158.325
10000;user_id;quadratic_probing;2900462825;252;494.318;159.611
10000;user_id;quadratic_probing;1.24735372894191E+018;800;497.872;162.057
10000;user_id;quadratic_probing;3910387241;390;496.632;161.526
10000;user_id;quadratic_probing;1.07868649728761E+018;402;495.557;160.912
10000;user_id;quadratic_probing;877169851;517;495.798;160.011
10000;user_id;quadratic_probing;96898570;269;493.278;160.896
10000;user_id;quadratic_probing;326754207;317;491.341;161.063
10000;user_id;quadratic_probing;1.05421918315051E+018;379;490.12;160.603
10000;user_id;quadratic_probing;9.68562121150779E+017;407;489.226;159.96
10000;user_id;quadratic_probing;2440710914;368;487.936;159.589
10000;user_id;quadratic_probing;1.25466272704329E+018;408;487.095;158.949
10000;user_id;quadratic_probing;123913303;487;487.094;158.11
10000;user_id;quadratic_probing;7.09752582839931E+017;310;485.268;158.309
10000;user_id;quadratic_probing;1.18634975512486E+018;351;483.898;158.074
10000;user_name;quadratic_probing;RSeifert11;1375;1375;-nan
10000;user_name;quadratic_probing;etoroq;531;953;596.798
10000;user_name;quadratic_probing;gomezguenchor;485;797;501.091
10000;user_name;quadratic_probing;juesumecago;403;698.5;454.097
10000;user_name;quadratic_probing;JorgeZigaSanMa1;515;661.8;401.73
10000;user_name;quadratic_probing;SebaPelao;368;612.833;378.809
10000;user_name;quadratic_probing;SergioRabah;435;587.429;352.275
10000;user_name;quadratic_probing;Danini9997;441;569.125;330.227
10000;user_name;quadratic_probing;Rodrigo_act;382;548.333;315.134
10000;user_name;quadratic_probing;aythrox;354;528.9;303.4
10000;user_name;quadratic_probing;eltemuquino;445;521.273;288.94
10000;user_name;quadratic_probing;matiasConteras;550;523.667;275.618
10000;user_name;quadratic_probing;BelmarPato;633;532.077;265.621
10000;user_name;quadratic_probing;IglesiasvJose;462;527.071;255.887
10000;user_name;quadratic_probing;bacterina;555;528.933;246.684
10000;user_name;quadratic_probing;SEKPacifico;416;521.875;239.986
10000;user_name;quadratic_probing;PaguduPaulina;429;516.412;233.455
10000;user_name;quadratic_probing;AndreaC70803634;390;509.389;228.436
10000;user_name;quadratic_probing;PaolyCabrera;394;503.316;223.572
10000;user_name;quadratic_probing;Vale_Taverninii;410;498.65;218.607
10000;user_name;quadratic_probing;dennypastranoc;498;498.619;213.072
10000;user_name;quadratic_probing;IP2med;561;501.455;208.362
10000;user_name;quadratic_probing;USMgye;438;498.696;204.001
10000;user_name;quadratic_probing;Ricardo_ICT;480;497.917;199.553
10000;user_name;quadratic_probing;seguel_paula;428;495.12;195.852
10000;user_name;quadratic_probing;rcruzre;434;492.769;192.269
10000;user_name;quadratic_probing;saracontrerasc;483;492.407;188.544
10000;user_name;quadratic_probing;fabiolitaot;331;486.643;187.517
10000;user_name;quadratic_probing;TemisAbogado;513;487.552;184.203
10000;user_name;quadratic_probing;Majoalarconch;417;485.2;181.457
10000;user_name;quadratic_probing;NiParraguez;339;480.484;180.329
10000;user_name;quadratic_probing;AndreaPinochet3;416;478.469;177.763
10000;user_name;quadratic_probing;SalazarAlessa;303;473.152;177.61
10000;user_name;quadratic_probing;Ediciones_ead;306;468.235;177.232
10000;user_name;quadratic_probing;nquirogasaez;303;463.514;176.825
10000;user_name;quadratic_probing;ufckingWalnut;305;459.111;176.272
