cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
10000;user_id;separate_chaining;1.25406521693508E+018;1641;1641;-nan
10000;user_id;separate_chaining;292409067;703;1172;663.266
10000;user_id;separate_chaining;1.1542011817592E+018;477;940.333;617.227
10000;user_id;separate_chaining;1.26510360843494E+018;595;854;532.723
10000;user_id;separate_chaining;71693873;429;769;498.969
10000;user_id;separate_chaining;1.23320322730011E+018;728;762.167;446.605
10000;user_id;separate_chaining;1.2596426669141E+018;684;751;408.762
10000;user_id;separate_chaining;166581317;472;716.125;391.084
10000;user_id;separate_chaining;1478435400;543;696.889;370.35
10000;user_id;separate_chaining;4284985095;497;676.9;354.844
10000;user_id;separate_chaining;209921199;618;671.545;337.103
10000;user_id;separate_chaining;4706146293;602;665.75;322.042
10000;user_id;separate_chaining;1.21967152375946E+018;617;662;308.628
10000;user_id;separate_chaining;331591974;407;643.786;304.251
10000;user_id;separate_chaining;122732602;431;629.6;298.287
10000;user_id;separate_chaining;316780067;365;613.062;295.667
10000;user_id;separate_chaining;95094897;468;604.529;288.433
10000;user_id;separate_chaining;145778116;464;596.722;281.774
10000;user_id;separate_chaining;2763294425;444;588.684;276.068
10000;user_id;separate_chaining;1.26003637410886E+018;512;584.85;269.251
10000;user_id;separate_chaining;9.29884678215041E+017;771;593.714;265.559
10000;user_id;separate_chaining;75030286;442;586.818;261.17
10000;user_id;separate_chaining;170199963;660;590;255.621
10000;user_id;separate_chaining;1.18599431835344E+018;471;585.042;251.179
10000;user_id;separate_chaining;159947831;351;575.68;250.306
10000;user_id;separate_chaining;717233304;459;571.192;246.314
10000;user_id;separate_chaining;32552590;796;579.519;245.375
10000;user_id;separate_chaining;528119606;394;572.893;243.328
10000;user_id;separate_chaining;1.04464566449021E+018;1027;588.552;253.386
10000;user_id;separate_chaining;1.1100692856936E+018;470;584.6;249.918
10000;user_id;separate_chaining;1465971523;642;586.452;245.934
10000;user_id;separate_chaining;4825801534;413;581.031;243.87
10000;user_id;separate_chaining;1.05702447277819E+018;620;582.212;240.125
10000;user_id;separate_chaining;118548464;596;582.618;236.471
10000;user_id;separate_chaining;47791817;702;586.029;233.839
10000;user_id;separate_chaining;543868766;579;585.833;230.478
10000;user_id;separate_chaining;50822971;480;582.973;227.919
10000;user_id;separate_chaining;57749993;456;579.632;225.76
10000;user_id;separate_chaining;568583392;386;574.667;224.917
10000;user_id;separate_chaining;1.08388900040911E+018;426;570.95;223.255
10000;user_id;separate_chaining;41957912;501;569.244;220.717
10000;user_id;separate_chaining;1.24258531658774E+018;652;571.214;218.383
10000;user_id;separate_chaining;1.25229155262764E+018;495;569.442;216.08
10000;user_id;separate_chaining;7.38220060779614E+017;531;568.568;213.631
10000;user_id;separate_chaining;105295130;462;566.2;211.787
10000;user_id;separate_chaining;2403133815;345;561.391;211.944
10000;user_id;separate_chaining;1.1875886760517E+018;701;564.362;210.615
10000;user_id;separate_chaining;1.1687106909217E+018;492;562.854;208.624
10000;user_id;separate_chaining;470204425;302;557.531;209.776
10000;user_id;separate_chaining;7.36054068783681E+017;543;557.24;207.634
10000;user_id;separate_chaining;1.23455514291513E+018;420;554.549;206.444
10000;user_id;separate_chaining;8.27543664247325E+017;637;556.135;204.729
10000;user_id;separate_chaining;282990422;532;555.679;202.778
10000;user_id;separate_chaining;3000529413;417;553.111;201.741
10000;user_id;separate_chaining;384103171;375;549.873;201.302
10000;user_id;separate_chaining;1.2421868485811E+018;452;548.125;199.892
10000;user_id;separate_chaining;119911123;570;548.509;198.12
10000;user_id;separate_chaining;253574712;443;546.69;196.863
10000;user_id;separate_chaining;280698353;453;545.102;195.539
10000;user_id;separate_chaining;8.73885079298331E+017;660;547.017;194.442
10000;user_id;separate_chaining;80930227;803;551.213;195.58
10000;user_id;separate_chaining;1485566664;367;548.242;195.376
10000;user_id;separate_chaining;1.18666177248643E+018;352;545.127;195.365
10000;user_id;separate_chaining;187280381;344;541.984;195.432
10000;user_id;separate_chaining;770435666;339;538.862;195.527
10000;user_id;separate_chaining;70874731;517;538.53;194.036
10000;user_id;separate_chaining;8.407144390579E+017;348;535.687;193.962
10000;user_id;separate_chaining;2534072247;388;533.515;193.34
10000;user_id;separate_chaining;1.26437290223491E+018;499;533.014;191.958
10000;user_id;separate_chaining;324956431;322;530;192.224
10000;user_id;separate_chaining;2875589231;350;527.465;192.038
10000;user_id;separate_chaining;131683112;269;523.875;193.098
10000;user_id;separate_chaining;197257581;486;523.356;191.804
10000;user_id;separate_chaining;3019596255;545;523.649;190.502
10000;user_id;separate_chaining;1.18774113096171E+018;435;522.467;189.488
10000;user_id;separate_chaining;921893324;410;520.987;188.662
10000;user_id;separate_chaining;194274534;465;520.26;187.525
10000;user_id;separate_chaining;365055797;455;519.423;186.45
10000;user_id;separate_chaining;9.26638383488741E+017;455;518.608;185.392
10000;user_id;separate_chaining;7.15593214414205E+017;412;517.275;184.6
10000;user_id;separate_chaining;142164499;358;515.309;184.295
10000;user_id;separate_chaining;1.23571809843674E+018;1187;523.5;197.604
10000;user_id;separate_chaining;1.18897047911949E+018;557;523.904;196.43
10000;user_id;separate_chaining;1.20202620161273E+018;372;522.095;195.945
10000;user_id;separate_chaining;172748804;423;520.929;195.072
10000;user_id;separate_chaining;1065992101;421;519.767;194.22
10000;user_id;separate_chaining;805427017;478;519.287;193.139
