cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
10000;user_id;unordered_map;166176427;1195;1195;-nan
10000;user_id;unordered_map;1.10005223208562E+018;640;917.5;392.444
10000;user_id;unordered_map;9.46437306860343E+017;768;867.667;290.614
10000;user_id;unordered_map;167280411;881;871;237.379
10000;user_id;unordered_map;8.1774884980045E+017;466;790;273.983
10000;user_id;unordered_map;1.00264148156229E+018;477;737.833;276.372
10000;user_id;unordered_map;147041457;554;711.571;261.685
10000;user_id;unordered_map;8.22918429195768E+017;618;699.875;244.521
10000;user_id;unordered_map;3409478140;424;669.222;246.522
10000;user_id;unordered_map;9.25172118626669E+017;600;662.3;233.452
10000;user_id;unordered_map;1179294991;801;674.909;225.386
10000;user_id;unordered_map;8.36668741010227E+017;485;659.083;221.779
10000;user_id;unordered_map;1.23571809843674E+018;687;661.231;212.479
10000;user_id;unordered_map;3573116835;658;661;204.145
10000;user_id;unordered_map;501548453;486;649.333;201.841
10000;user_id;unordered_map;1.24871969501816E+018;471;638.188;200.029
10000;user_id;unordered_map;123398292;351;621.294;205.821
10000;user_id;unordered_map;1.26030244465289E+018;748;628.333;201.897
10000;user_id;unordered_map;1.23745892028265E+018;558;624.632;196.871
10000;user_id;unordered_map;56813529;292;608;205.549
10000;user_id;unordered_map;715286899;491;602.429;201.965
10000;user_id;unordered_map;496571740;662;605.136;197.506
10000;user_id;unordered_map;61674646;403;596.348;197.515
10000;user_id;unordered_map;9.5329962926064E+017;386;587.583;197.888
10000;user_id;unordered_map;62931833;512;584.56;194.31
10000;user_id;unordered_map;1157688091;374;576.462;194.811
10000;user_id;unordered_map;542257462;627;578.333;191.275
10000;user_id;unordered_map;400502105;371;570.929;191.746
10000;user_id;unordered_map;1.23456288226593E+018;426;565.931;190.204
10000;user_id;unordered_map;149968061;551;565.433;186.916
10000;user_id;unordered_map;1.24095990485847E+018;422;560.806;185.571
10000;user_id;unordered_map;182430654;320;553.281;187.451
10000;user_id;unordered_map;380095711;290;545.303;190.106
10000;user_id;unordered_map;2803029473;431;541.941;188.227
10000;user_id;unordered_map;303924132;642;544.8;186.208
10000;user_id;unordered_map;296026647;488;543.222;183.773
10000;user_id;unordered_map;8.45394019588936E+017;494;541.892;181.383
10000;user_id;unordered_map;362238516;491;540.553;179.106
10000;user_id;unordered_map;228339544;387;536.615;178.435
10000;user_id;unordered_map;873942205;487;535.375;176.308
10000;user_id;unordered_map;183703298;526;535.146;174.096
