cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
1000;user_id;double_hashing;1000000;716;716;-nan
1000;user_id;double_hashing;1010000;392;554;229.103
1000;user_id;double_hashing;1020000;931;679.667;271.331
1000;user_id;double_hashing;1030000;229;567;315.999
1000;user_id;double_hashing;1040000;369;527.4;287.632
1000;user_id;double_hashing;1050000;262;483.167;279.151
1000;user_id;double_hashing;1060000;730;518.429;271.37
1000;user_id;double_hashing;1070000;727;544.5;261.838
1000;user_id;double_hashing;1080000;509;540.556;245.213
1000;user_id;double_hashing;1090000;409;527.4;234.902
1000;user_id;double_hashing;1100000;216;499.091;241.819
1000;user_id;double_hashing;1110000;348;486.5;234.655
1000;user_id;double_hashing;1120000;232;466.923;235.492
1000;user_id;double_hashing;1130000;337;457.643;228.903
1000;user_id;double_hashing;1140000;257;444.267;226.578
1000;user_id;double_hashing;1150000;276;433.75;222.901
1000;user_id;double_hashing;1160000;411;432.412;215.893
1000;user_id;double_hashing;1170000;552;439.056;211.335
1000;user_id;double_hashing;1180000;348;434.263;206.441
1000;user_id;double_hashing;1190000;242;424.65;205.482
1000;user_id;double_hashing;1200000;414;424.143;200.293
1000;user_id;double_hashing;1210000;273;417.273;198.104
1000;user_id;double_hashing;1220000;208;408.174;198.407
1000;user_id;double_hashing;1230000;324;404.667;194.806
1000;user_id;double_hashing;1240000;507;408.76;191.799
1000;user_id;double_hashing;1250000;385;407.846;187.982
1000;user_id;double_hashing;1260000;281;403.148;185.941
1000;user_id;double_hashing;1270000;401;403.071;182.465
1000;user_id;double_hashing;1280000;534;407.586;180.819
1000;user_id;double_hashing;1290000;317;404.567;178.442
1000;user_id;double_hashing;1300000;331;402.194;175.94
1000;user_id;double_hashing;1310000;261;397.781;174.869
1000;user_id;double_hashing;1320000;293;394.606;173.079
1000;user_id;double_hashing;1330000;202;388.941;173.608
1000;user_id;double_hashing;1340000;328;387.2;171.346
1000;user_id;double_hashing;1350000;331;385.639;169.14
1000;user_id;double_hashing;1360000;235;381.568;168.603
1000;user_id;double_hashing;1370000;286;379.053;167.03
1000;user_id;double_hashing;1380000;273;376.333;165.69
1000;user_id;double_hashing;1390000;268;373.625;164.446
1000;user_id;double_hashing;1400000;232;370.171;163.877
1000;user_id;double_hashing;1410000;295;368.381;162.282
1000;user_id;double_hashing;1420000;248;365.581;161.386
1000;user_id;double_hashing;1430000;255;363.068;160.367
1000;user_id;double_hashing;1440000;614;368.644;162.887
1000;user_id;double_hashing;1450000;258;366.239;161.891
1000;user_id;double_hashing;1460000;245;363.66;161.096
1000;user_id;double_hashing;1470000;211;360.479;160.889
1000;user_id;double_hashing;1480000;206;357.327;160.726
1000;user_id;double_hashing;1490000;243;355.04;159.897
1000;user_id;double_hashing;1500000;253;353.039;158.934
1000;user_id;double_hashing;1510000;233;350.731;158.246
1000;user_id;double_hashing;1520000;573;354.925;159.663
1000;user_id;double_hashing;1530000;309;354.074;158.273
1000;user_id;double_hashing;1540000;271;352.564;157.2
1000;user_id;double_hashing;1550000;360;352.696;155.768
1000;user_id;double_hashing;1560000;210;350.193;155.524
1000;user_id;double_hashing;1570000;320;349.672;154.204
1000;user_id;double_hashing;1580000;270;348.322;153.221
1000;user_id;double_hashing;1590000;329;348;151.937
1000;user_id;double_hashing;1600000;399;348.836;150.807
1000;user_id;double_hashing;1610000;261;347.419;149.981
1000;user_id;double_hashing;1620000;307;346.778;148.854
1000;user_id;double_hashing;1630000;255;345.344;148.113
1000;user_id;double_hashing;1640000;204;343.169;147.993
1000;user_id;double_hashing;1650000;336;343.061;146.853
1000;user_id;double_hashing;1660000;365;343.388;145.761
1000;user_id;double_hashing;1670000;213;341.471;145.531
1000;user_id;double_hashing;1680000;244;340.058;144.932
1000;user_id;double_hashing;1690000;207;338.157;144.755
1000;user_id;double_hashing;1700000;206;336.296;144.57
1000;user_id;double_hashing;1710000;190;334.264;144.58
1000;user_id;double_hashing;1720000;293;333.699;143.654
1000;user_id;double_hashing;1730000;232;332.324;143.155
1000;user_id;double_hashing;1740000;348;332.533;142.196
1000;user_id;double_hashing;1750000;286;331.921;141.346
1000;user_id;double_hashing;1760000;197;330.169;141.252
1000;user_id;double_hashing;1770000;410;331.192;140.623
1000;user_id;double_hashing;1780000;256;330.241;139.975
1000;user_id;double_hashing;1790000;241;329.125;139.443
1000;user_id;double_hashing;1800000;277;328.481;138.69
1000;user_id;double_hashing;1810000;351;328.756;137.854
1000;user_id;double_hashing;1820000;236;327.639;137.388
1000;user_id;double_hashing;1830000;233;326.512;136.948
1000;user_id;double_hashing;1840000;267;325.812;136.283
1000;user_id;double_hashing;1850000;410;326.791;135.783
1000;user_id;double_hashing;1860000;228;325.655;135.406
1000;user_id;double_hashing;1870000;411;326.625;134.933
1000;user_id;double_hashing;1880000;382;327.247;134.292
1000;user_id;double_hashing;1890000;338;327.367;133.541
1000;user_id;double_hashing;1900000;206;326.033;133.405
1000;user_id;double_hashing;1910000;779;330.957;140.824
1000;user_id;double_hashing;1920000;205;329.602;140.664
1000;user_id;double_hashing;1930000;359;329.915;139.939
1000;user_id;double_hashing;1940000;298;329.579;139.231
1000;user_id;double_hashing;1950000;307;329.344;138.516
1000;user_id;double_hashing;1960000;200;328.01;138.417
1000;user_id;double_hashing;1970000;195;326.653;138.355
1000;user_name;double_hashing;User1351858890;659;659;-nan
1000;user_name;double_hashing;User2143100005;860;759.5;142.128
1000;user_name;double_hashing;User3933878023;314;611;276.147
1000;user_name;double_hashing;User1529449953;907;685;269.707
1000;user_name;double_hashing;User1484201771;421;632.2;261.717
1000;user_name;double_hashing;User1309640466;530;615.167;237.776
1000;user_name;double_hashing;User3478772850;204;556.429;266.956
1000;user_name;double_hashing;User1989867246;162;507.125;283.781
1000;user_name;double_hashing;User4185078043;619;519.556;268.059
1000;user_name;double_hashing;User3488811822;301;497.7;262.009
1000;user_name;double_hashing;User2639466358;337;483.091;253.242
1000;user_name;double_hashing;User3170505729;249;463.583;250.734
1000;user_name;double_hashing;User2535877572;668;479.308;246.664
1000;user_name;double_hashing;User1690200245;155;456.143;252.34
1000;user_name;double_hashing;User2469555303;494;458.667;243.357
1000;user_name;double_hashing;User4133342808;335;450.938;237.129
1000;user_name;double_hashing;User677081085;284;441.118;233.142
1000;user_name;double_hashing;User4226976692;279;432.111;229.386
1000;user_name;double_hashing;User180035114;655;443.842;228.713
1000;user_name;double_hashing;User3260341937;316;437.45;224.44
1000;user_name;double_hashing;User608016607;160;424.238;226.981
1000;user_name;double_hashing;User2741380243;244;416.045;224.819
1000;user_name;double_hashing;User1725428958;270;409.696;221.751
1000;user_name;double_hashing;User3677499547;274;404.042;218.639
1000;user_name;double_hashing;User2847253454;158;394.2;219.619
1000;user_name;double_hashing;User3452913491;215;387.308;218.033
1000;user_name;double_hashing;User4160153573;202;380.444;216.753
1000;user_name;double_hashing;User3926734956;239;375.393;214.374
1000;user_name;double_hashing;User1092885591;682;385.966;218.075
1000;user_name;double_hashing;User3311949973;275;382.267;215.237
1000;user_name;double_hashing;User3348960867;226;377.226;213.473
1000;user_name;double_hashing;User500065501;215;372.156;211.951
1000;user_name;double_hashing;User2069865555;282;369.424;209.202
1000;user_name;double_hashing;User2323431941;349;368.824;206.038
1000;user_name;double_hashing;User1801788343;159;362.829;206.06
1000;user_name;double_hashing;User2443253004;360;362.75;203.096
1000;user_name;double_hashing;User1938259390;269;360.216;200.847
1000;user_name;double_hashing;User4061283062;288;358.316;198.461
1000;user_name;double_hashing;User1278646102;268;356;196.365
1000;user_name;double_hashing;User2970180925;303;354.675;194.012
1000;user_name;double_hashing;User3913979464;266;352.512;192.072
1000;user_name;double_hashing;User1117937099;290;351.024;189.96
1000;user_name;double_hashing;User4275497430;318;350.256;187.753
1000;user_name;double_hashing;User1650758719;678;357.705;192.022
1000;user_name;double_hashing;User2994229174;401;358.667;189.937
1000;user_name;double_hashing;User3120046482;210;355.435;189.09
1000;user_name;double_hashing;User2435471645;321;354.702;187.091
1000;user_name;double_hashing;User3274122839;549;358.75;187.202
1000;user_name;double_hashing;User3119681823;241;356.347;186.004
1000;user_name;double_hashing;User1022913427;205;353.32;185.336
1000;user_name;double_hashing;User434093901;243;351.157;184.123
1000;user_name;double_hashing;User1015511694;399;352.077;182.429
1000;user_name;double_hashing;User3104389109;154;348.34;182.704
1000;user_name;double_hashing;User3509310693;729;355.389;188.24
1000;user_name;double_hashing;User263723660;400;356.2;186.586
1000;user_name;double_hashing;User1124013862;189;353.214;186.227
1000;user_name;double_hashing;User4138643960;158;349.789;186.359
1000;user_name;double_hashing;User2786938536;364;350.034;184.727
1000;user_name;double_hashing;User2634246136;954;360.271;199.294
1000;user_name;double_hashing;User3842395379;252;358.467;198.092
1000;user_name;double_hashing;User3131437510;158;355.18;198.104
1000;user_name;double_hashing;User3967578022;277;353.919;196.724
1000;user_name;double_hashing;User4175194307;182;351.19;196.33
1000;user_name;double_hashing;User869076225;545;354.219;196.266
1000;user_name;double_hashing;User4120981876;250;352.615;195.156
1000;user_name;double_hashing;User2672360540;342;352.455;193.653
1000;user_name;double_hashing;User2321398254;300;351.672;192.287
1000;user_name;double_hashing;User2991648151;362;351.824;190.851
1000;user_name;double_hashing;User3631580318;169;349.174;190.717
1000;user_name;double_hashing;User2359214804;201;347.057;190.156
1000;user_name;double_hashing;User1458070573;298;346.366;188.883
1000;user_name;double_hashing;User2778966156;254;345.083;187.863
1000;user_name;double_hashing;User2240294792;165;342.616;187.741
1000;user_name;double_hashing;User4153803579;299;342.027;186.52
1000;user_name;double_hashing;User136420376;281;341.213;185.389
1000;user_name;double_hashing;User1737864127;177;339.053;185.11
1000;user_name;double_hashing;User2984975677;202;337.273;184.55
1000;user_name;double_hashing;User137791867;488;339.205;184.14
1000;user_name;double_hashing;User1297806254;557;341.962;184.59
1000;user_name;double_hashing;User4108686531;405;342.75;183.553
1000;user_name;double_hashing;User713064705;284;342.025;182.519
1000;user_name;double_hashing;User561140882;174;339.976;182.336
1000;user_name;double_hashing;User3706745851;158;337.783;182.318
1000;user_name;double_hashing;User894282709;436;338.952;181.533
1000;user_name;double_hashing;User2713967016;278;338.235;180.57
1000;user_name;double_hashing;User1425273873;252;337.233;179.746
1000;user_name;double_hashing;User3452929787;158;335.172;179.728
1000;user_name;double_hashing;User906105458;255;334.261;178.896
1000;user_name;double_hashing;User3639827355;157;332.27;178.866
1000;user_name;double_hashing;User4236852727;157;330.322;178.816
1000;user_name;double_hashing;User470773181;156;328.407;178.756
1000;user_name;double_hashing;User3388064401;287;327.957;177.823
1000;user_name;double_hashing;User741832042;197;326.548;177.375
1000;user_name;double_hashing;User1217357529;731;330.851;181.284
1000;user_name;double_hashing;User3478468240;199;329.463;180.824
1000;user_name;double_hashing;User4142148257;202;328.135;180.339
1000;user_name;double_hashing;User1127488015;163;326.433;180.179
1000;user_name;double_hashing;User2541106488;161;324.745;180.025
1000;user_name;double_hashing;User1774797523;161;323.091;179.859
1000;user_name;double_hashing;User3075560934;462;324.48;179.487
