cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
1000;user_id;quadratic_probing;1000000;745;745;-nan
1000;user_id;quadratic_probing;1010000;642;693.5;72.832
1000;user_id;quadratic_probing;1020000;487;624.667;129.87
1000;user_id;quadratic_probing;1030000;257;532.75;212.224
1000;user_id;quadratic_probing;1040000;322;490.6;206.549
1000;user_id;quadratic_probing;1050000;320;462.167;197.435
1000;user_id;quadratic_probing;1060000;616;484.143;189.379
1000;user_id;quadratic_probing;1070000;371;470;179.836
1000;user_id;quadratic_probing;1080000;457;468.556;168.277
1000;user_id;quadratic_probing;1090000;237;445.4;174.736
1000;user_id;quadratic_probing;1100000;288;431.091;172.429
1000;user_id;quadratic_probing;1110000;232;414.5;174.161
1000;user_id;quadratic_probing;1120000;226;400;174.75
1000;user_id;quadratic_probing;1130000;219;387.071;174.724
1000;user_id;quadratic_probing;1140000;485;393.6;170.256
1000;user_id;quadratic_probing;1150000;414;394.875;164.562
1000;user_id;quadratic_probing;1160000;649;409.824;170.842
1000;user_id;quadratic_probing;1170000;579;419.222;170.47
1000;user_id;quadratic_probing;1180000;255;410.579;169.897
1000;user_id;quadratic_probing;1190000;182;399.15;173.085
1000;user_id;quadratic_probing;1200000;180;388.714;175.349
1000;user_id;quadratic_probing;1210000;186;379.5;176.497
1000;user_id;quadratic_probing;1220000;177;370.696;177.533
1000;user_id;quadratic_probing;1230000;173;362.458;178.259
1000;user_id;quadratic_probing;1240000;267;358.64;175.547
1000;user_id;quadratic_probing;1250000;344;358.077;172.024
1000;user_id;quadratic_probing;1260000;250;354.074;169.961
1000;user_id;quadratic_probing;1270000;249;350.321;167.962
1000;user_id;quadratic_probing;1280000;168;344.034;168.374
1000;user_id;quadratic_probing;1290000;315;343.067;165.53
1000;user_id;quadratic_probing;1300000;636;352.516;171.041
1000;user_id;quadratic_probing;1310000;169;346.781;171.359
1000;user_id;quadratic_probing;1320000;312;345.727;168.769
1000;user_id;quadratic_probing;1330000;160;340.265;169.217
1000;user_id;quadratic_probing;1340000;166;335.286;169.292
1000;user_id;quadratic_probing;1350000;280;333.75;167.11
1000;user_id;quadratic_probing;1360000;291;332.595;164.923
1000;user_id;quadratic_probing;1370000;342;332.842;162.686
1000;user_id;quadratic_probing;1380000;280;331.487;160.754
1000;user_id;quadratic_probing;1390000;267;329.875;159.007
1000;user_id;quadratic_probing;1400000;440;332.561;157.946
1000;user_id;quadratic_probing;1410000;165;328.571;158.136
1000;user_id;quadratic_probing;1420000;165;324.767;158.22
1000;user_id;quadratic_probing;1430000;272;323.568;156.572
1000;user_id;quadratic_probing;1440000;162;319.978;156.645
1000;user_id;quadratic_probing;1450000;159;316.478;156.703
1000;user_id;quadratic_probing;1460000;166;313.277;156.537
1000;user_id;quadratic_probing;1470000;173;310.354;156.181
1000;user_id;quadratic_probing;1480000;254;309.204;154.755
1000;user_id;quadratic_probing;1490000;247;307.96;153.42
1000;user_id;quadratic_probing;1500000;164;305.137;153.21
1000;user_id;quadratic_probing;1510000;164;302.423;152.958
1000;user_id;quadratic_probing;1520000;160;299.736;152.738
1000;user_id;quadratic_probing;1530000;166;297.259;152.381
1000;user_id;quadratic_probing;1540000;180;295.127;151.789
1000;user_id;quadratic_probing;1550000;172;292.929;151.3
1000;user_id;quadratic_probing;1560000;159;290.579;150.989
1000;user_id;quadratic_probing;1570000;177;288.621;150.4
1000;user_id;quadratic_probing;1580000;240;287.797;149.232
1000;user_id;quadratic_probing;1590000;250;287.167;148.042
1000;user_id;quadratic_probing;1600000;164;285.148;147.648
1000;user_id;quadratic_probing;1610000;182;283.484;147.017
1000;user_id;quadratic_probing;1620000;186;281.937;146.343
1000;user_id;quadratic_probing;1630000;163;280.078;145.936
1000;user_id;quadratic_probing;1640000;366;281.4;145.183
1000;user_id;quadratic_probing;1650000;159;279.545;144.848
1000;user_id;quadratic_probing;1660000;157;277.716;144.524
1000;user_id;quadratic_probing;1670000;419;279.794;144.461
1000;user_id;quadratic_probing;1680000;256;279.449;143.424
1000;user_id;quadratic_probing;1690000;222;278.629;142.546
1000;user_id;quadratic_probing;1700000;159;276.944;142.234
1000;user_id;quadratic_probing;1710000;251;276.583;141.262
1000;user_id;quadratic_probing;1720000;167;275.082;140.863
1000;user_id;quadratic_probing;1730000;293;275.324;139.91
1000;user_id;quadratic_probing;1740000;164;273.84;139.555
1000;user_id;quadratic_probing;1750000;183;272.645;139.013
1000;user_id;quadratic_probing;1760000;165;271.247;138.639
1000;user_id;quadratic_probing;1770000;257;271.064;137.745
1000;user_id;quadratic_probing;1780000;344;271.987;137.105
1000;user_id;quadratic_probing;1790000;239;271.575;136.284
1000;user_id;quadratic_probing;1800000;262;271.457;135.434
1000;user_id;quadratic_probing;1810000;181;270.354;134.966
1000;user_id;quadratic_probing;1820000;162;269.048;134.667
1000;user_id;quadratic_probing;1830000;180;267.988;134.205
1000;user_id;quadratic_probing;1840000;177;266.918;133.768
1000;user_id;quadratic_probing;1850000;170;265.791;133.389
1000;user_id;quadratic_probing;1860000;267;265.805;132.611
1000;user_id;quadratic_probing;1870000;244;265.557;131.868
1000;user_id;quadratic_probing;1880000;241;265.281;131.142
1000;user_id;quadratic_probing;1890000;262;265.244;130.404
1000;user_id;quadratic_probing;1900000;165;264.143;130.102
1000;user_id;quadratic_probing;1910000;158;262.989;129.858
1000;user_id;quadratic_probing;1920000;158;261.86;129.608
1000;user_id;quadratic_probing;1930000;162;260.798;129.32
1000;user_id;quadratic_probing;1940000;179;259.937;128.904
1000;user_id;quadratic_probing;1950000;290;260.25;128.261
1000;user_id;quadratic_probing;1960000;228;259.918;127.633
1000;user_id;quadratic_probing;1970000;254;259.857;126.975
1000;user_name;quadratic_probing;User2283610684;890;890;-nan
1000;user_name;quadratic_probing;User3868086457;253;571.5;450.427
