cant_experimentos;dataset;estructura_de_datos;valor_consulta;tiempo;tiempo_promedio;desviacion_estandar
1000;user_id;unordered_map;1000000;902;902;-nan
1000;user_id;unordered_map;1010000;410;656;347.897
1000;user_id;unordered_map;1020000;221;511;351.555
1000;user_id;unordered_map;1030000;189;430.5;329.112
1000;user_id;unordered_map;1040000;190;382.4;304.638
1000;user_id;unordered_map;1050000;562;412.333;282.169
1000;user_id;unordered_map;1060000;878;478.857;311.974
1000;user_id;unordered_map;1070000;783;516.875;308.199
1000;user_id;unordered_map;1080000;227;484.667;304.055
1000;user_id;unordered_map;1090000;451;481.3;286.864
1000;user_id;unordered_map;1100000;166;452.636;288.269
1000;user_id;unordered_map;1110000;471;454.167;274.905
1000;user_id;unordered_map;1120000;569;463;265.122
1000;user_id;unordered_map;1130000;662;477.214;260.214
1000;user_id;unordered_map;1140000;162;456.2;263.626
1000;user_id;unordered_map;1150000;416;453.688;254.885
1000;user_id;unordered_map;1160000;900;479.941;269.487
1000;user_id;unordered_map;1170000;433;477.333;261.675
1000;user_id;unordered_map;1180000;544;480.842;254.762
1000;user_id;unordered_map;1190000;158;464.7;258.262
1000;user_id;unordered_map;1200000;545;468.524;252.331
1000;user_id;unordered_map;1210000;484;469.227;246.272
1000;user_id;unordered_map;1220000;352;464.13;241.849
1000;user_id;unordered_map;1230000;152;451.125;244.963
1000;user_id;unordered_map;1240000;157;439.36;246.915
1000;user_id;unordered_map;1250000;473;440.654;242.017
1000;user_id;unordered_map;1260000;531;444;237.953
1000;user_id;unordered_map;1270000;383;441.821;233.789
1000;user_id;unordered_map;1280000;296;436.793;231.168
1000;user_id;unordered_map;1290000;560;440.9;228.258
1000;user_id;unordered_map;1300000;153;431.613;230.302
1000;user_id;unordered_map;1310000;229;425.281;229.37
1000;user_id;unordered_map;1320000;475;426.788;225.924
1000;user_id;unordered_map;1330000;196;420;225.968
1000;user_id;unordered_map;1340000;181;413.171;226.256
1000;user_id;unordered_map;1350000;444;414.028;223.059
1000;user_id;unordered_map;1360000;555;417.838;221.157
1000;user_id;unordered_map;1370000;189;411.816;221.284
1000;user_id;unordered_map;1380000;805;421.897;227.249
1000;user_id;unordered_map;1390000;549;425.075;225.215
1000;user_id;unordered_map;1400000;267;421.22;223.748
1000;user_id;unordered_map;1410000;471;422.405;221.136
1000;user_id;unordered_map;1420000;483;423.814;218.683
1000;user_id;unordered_map;1430000;221;419.205;218.277
1000;user_id;unordered_map;1440000;372;418.156;215.897
1000;user_id;unordered_map;1450000;102;411.283;218.515
1000;user_id;unordered_map;1460000;458;412.277;216.234
1000;user_id;unordered_map;1470000;478;413.646;214.131
1000;user_id;unordered_map;1480000;154;408.347;215.111
1000;user_id;unordered_map;1490000;551;411.2;213.859
1000;user_id;unordered_map;1500000;152;406.118;214.798
1000;user_id;unordered_map;1510000;151;401.212;215.604
1000;user_id;unordered_map;1520000;464;402.396;213.695
1000;user_id;unordered_map;1530000;157;397.852;214.287
1000;user_id;unordered_map;1540000;434;398.509;212.35
1000;user_id;unordered_map;1550000;249;395.839;211.357
1000;user_id;unordered_map;1560000;381;395.579;209.471
1000;user_id;unordered_map;1570000;490;397.207;207.995
1000;user_id;unordered_map;1580000;157;393.136;208.552
1000;user_id;unordered_map;1590000;428;393.717;206.826
1000;user_id;unordered_map;1600000;153;389.77;207.398
1000;user_id;unordered_map;1610000;158;386.032;207.786
1000;user_id;unordered_map;1620000;388;386.063;206.104
1000;user_id;unordered_map;1630000;342;385.375;204.536
1000;user_id;unordered_map;1640000;450;386.369;203.09
1000;user_id;unordered_map;1650000;160;382.939;203.439
1000;user_id;unordered_map;1660000;415;383.418;201.93
1000;user_id;unordered_map;1670000;335;382.706;200.503
1000;user_id;unordered_map;1680000;568;385.391;200.27
1000;user_id;unordered_map;1690000;525;387.386;199.512
1000;user_id;unordered_map;1700000;449;388.254;198.217
1000;user_id;unordered_map;1710000;156;385.028;198.71
1000;user_id;unordered_map;1720000;343;384.452;197.387
1000;user_id;unordered_map;1730000;158;381.392;197.79
1000;user_id;unordered_map;1740000;473;382.613;196.733
1000;user_id;unordered_map;1750000;155;379.618;197.154
1000;user_id;unordered_map;1760000;368;379.468;195.857
1000;user_id;unordered_map;1770000;433;380.154;194.675
